coa,coo,population_type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Djibouti,Somalia,Displaced,21754,21768,20307,25803,17331,9828,8642,6000,8522,11223,14216,19432,18324
Eritrea,Somalia,Displaced,1253,1743,2990,3261,3523,3657,3838,4286,4803,4691,4691,4472,3440
Kenya,Somalia,Displaced,137486,147747,155767,154317,158149,162913,185501,193130,259815,310458,353208,519411,513292
Somalia,Somalia,Displaced,18000,0,0,0,0,400000,400000,1000000,1277200,1550000,1463780,1356856,1143189
Uganda,Somalia,Displaced,1369,919,1004,1027,1651,2373,4807,5628,8239,11625,17411,21063,27143
Yemen,Somalia,Displaced,56524,67485,80763,59246,63511,78582,91587,110616,132275,161468,179845,204685,226909
